#{"t_start": 1702236991.7148774, "env_id": null}
r,l,t
39.696117,240,2466.220953
482.78406,240,2470.733384
463.976888,240,2475.193643
374.727831,240,2479.690064
145.861696,240,2484.16885
795.138937,240,2488.709121
185.365823,240,2493.178721
52.206638,240,2497.695873
481.587644,240,2502.30614
174.433752,240,2506.808976
576.745193,240,2511.275051
491.682718,240,2515.805581
55.991585,240,2520.332612
479.730901,240,2524.817089
75.56232,240,2529.27561
388.479451,240,2533.858302
479.488232,240,2538.508195
57.864908,240,2543.000026
685.739137,240,2547.509573
686.560234,240,2552.006117
270.233874,240,2556.520633
691.637875,240,2560.994014
477.690522,240,2565.498107
260.470711,240,2570.107239
482.958781,240,2574.609166
269.674615,240,2579.107026
481.85121,240,2583.593865
58.103689,240,2588.113683
684.940247,240,2592.600605
-45.454371,240,2597.110574
274.429398,240,2601.593323
478.502162,240,2606.083894
468.187382,240,2610.581962
370.172749,240,2615.107767
467.290497,240,2619.610001
274.705097,240,2624.145221
265.240544,240,2628.62806
358.532288,240,2633.186986
381.960793,240,2637.779396
590.329268,240,2642.265578
383.100929,240,2647.020845
164.020195,240,2652.568286
572.204668,240,2657.382706
687.47165,240,2662.082488
693.241858,240,2666.608567
792.338152,240,2671.139599
780.949605,240,2675.64846
473.774833,240,2680.191998
488.820434,240,2684.716964
482.867462,240,2689.210887
484.145302,240,2693.661726
490.812132,240,2698.211465
363.890466,240,2702.913794
368.459665,240,2707.39241
485.127978,240,2711.890322
483.55422,240,2716.434584
583.102793,240,2720.908804
577.889128,240,2725.404966
776.788812,240,2729.907283
882.407738,240,2734.43494
482.885915,240,2738.947984
377.745902,240,2743.47732
381.947758,240,2747.954328
481.010677,240,2752.442924
379.159517,240,2756.926731
668.190217,240,2761.414321
587.364474,240,2766.091342
589.432166,240,2770.678831
1094.059207,240,2775.169308
365.049056,240,2779.649127
380.049936,240,2784.185104
380.832529,240,2788.651383
586.598776,240,2793.125988
569.695807,240,2797.635415
587.987567,240,2802.192767
478.065704,240,2806.723125
790.872515,240,2811.192505
253.02937,240,2815.650013
381.971662,240,2820.152022
785.014378,240,2824.639549
584.920743,240,2829.126749
791.225408,240,2833.784748
579.11547,240,2838.321326
572.63868,240,2843.007458
584.31058,240,2847.503235
480.08075,240,2851.974639
163.911631,240,2856.457322
579.265742,240,2860.951274
287.557338,240,2865.420793
685.495498,240,2869.921023
278.437897,240,2874.385581
586.355907,240,2878.8627
475.199579,240,2883.344766
382.232149,240,2887.818128
677.787818,240,2892.358264
683.684359,240,2896.891921
683.853197,240,2901.45163
690.993905,240,2905.938583
593.571463,240,2910.377311
282.79453,240,2914.892013
681.316737,240,2919.379061
478.14108,240,2923.890438
383.672296,240,2928.376716
262.0872,240,2932.875735
790.320213,240,2937.338398
1092.935627,240,2941.808043
475.524173,240,2946.276364
591.934492,240,2950.768023
688.194988,240,2955.237721
578.828718,240,2959.708403
379.272205,240,2964.35437
674.132485,240,2968.934906
386.371847,240,2973.404954
588.371678,240,2977.881064
591.82259,240,2982.365238
891.307255,240,2986.899284
367.53448,240,2991.397787
692.840416,240,2995.860567
787.820987,240,3000.316857
481.014648,240,3004.849774
792.536943,240,3009.31937
472.204165,240,3013.832731
477.94479,240,3018.382844
481.835572,240,3022.864973
594.101172,240,3027.398745
382.61665,240,3032.069869
575.619301,240,3036.553773
272.072406,240,3041.043093
580.551937,240,3045.547559
377.501923,240,3050.018956
585.589285,240,3054.556375
487.893494,240,3059.080275
686.042385,240,3063.600198
487.689675,240,3068.043459
580.977801,240,3072.546665
486.675143,240,3077.109805
584.660077,240,3081.595153
585.956691,240,3086.050822
484.363347,240,3090.554698
267.74373,240,3095.130844
485.105768,240,3099.70468
278.573827,240,3104.224995
379.747028,240,3108.709622
379.347164,240,3113.241168
577.016571,240,3117.750013
476.315914,240,3122.270606
580.893291,240,3126.777026
576.905017,240,3131.2818
589.13785,240,3135.797059
681.692522,240,3140.253348
378.534434,240,3144.732255
483.547307,240,3149.454788
485.946121,240,3153.977147
581.09205,240,3158.533477
487.790247,240,3163.176028
579.23591,240,3167.73397
590.664855,240,3172.296845
582.47251,240,3176.804443
483.318907,240,3181.284154
590.339904,240,3185.794426
488.06937,240,3190.244305
582.322315,240,3194.73409
376.938231,240,3199.241108
583.239475,240,3203.735355
385.525983,240,3208.239435
385.064936,240,3212.754393
483.62631,240,3217.428792
386.340784,240,3221.997108
375.809433,240,3226.609325
392.920466,240,3231.172926
472.396104,240,3235.641649
689.225765,240,3240.102669
489.15009,240,3244.611286
285.789677,240,3249.430987
692.235781,240,3254.320332
148.021529,240,3259.237834
783.053458,240,3264.102129
282.785234,240,3268.996909
673.978518,240,3273.927586
591.294753,240,3278.856132
585.288794,240,3283.778558
380.539685,240,3288.675223
684.211663,240,3293.59472
584.648643,240,3298.568921
493.965892,240,3303.465188
463.986973,240,3308.3764
687.008703,240,3313.291082
683.170777,240,3318.191531
475.322337,240,3323.222358
577.166091,240,3328.238519
477.464962,240,3333.164816
585.809409,240,3338.087826
484.526987,240,3342.993675
255.96307,240,3347.947992
384.205792,240,3352.902822
590.99186,240,3357.916691
785.999028,240,3362.903917
585.423188,240,3367.781932
684.72357,240,3372.709751
478.099129,240,3377.589923
574.977805,240,3382.486997
363.212921,240,3387.425755
581.994748,240,3392.355756
578.635312,240,3397.29924
689.394138,240,3402.254932
486.828107,240,3407.121942
489.01903,240,3411.99296
692.905179,240,3416.869169
480.8142,240,3421.735808
482.996191,240,3426.725711
481.936598,240,3431.650054
477.858303,240,3436.559319
383.049103,240,3441.479116
986.878132,240,3446.400141
578.675668,240,3451.297111
584.85872,240,3456.315579
572.826339,240,3461.214229
482.512872,240,3466.128315
786.940303,240,3471.038275
576.204008,240,3475.903345
681.051854,240,3480.814929
387.08019,240,3485.741724
690.211289,240,3490.749237
269.779554,240,3495.761497
574.754711,240,3500.651265
588.068853,240,3505.561047
289.845561,240,3510.42153
277.747301,240,3515.345831
786.251959,240,3520.681675
483.064451,240,3526.103313
78.346999,240,3531.281928
896.108303,240,3536.170448
280.644529,240,3541.011626
377.498424,240,3545.876118
486.100371,240,3550.801096
574.874594,240,3555.802901
488.57917,240,3560.700244
565.482418,240,3565.575445
463.34136,240,3570.439282
482.942824,240,3575.351022
380.43124,240,3580.463855
383.945635,240,3585.756116
586.229697,240,3590.932556
692.223712,240,3596.163919
696.541364,240,3601.274146
783.772905,240,3606.444638
683.617943,240,3611.707683
577.831563,240,3616.924182
484.258363,240,3622.186872
270.10624,240,3627.412897
